engine_id,true_rul,MC dropout lower,MC dropout upper,MC dropout + conformal (adaptive) lower,MC dropout + conformal (adaptive) upper,MC dropout + conformal (absolute) lower,MC dropout + conformal (absolute) upper,Deep ensemble lower,Deep ensemble upper,Deep ensemble + conformal (adaptive) lower,Deep ensemble + conformal (adaptive) upper,Deep ensemble + conformal (absolute) lower,Deep ensemble + conformal (absolute) upper,Quantile regression lower,Quantile regression upper,Quantile regression + CQR lower,Quantile regression + CQR upper
1,112.0,104.4931,133.12589,80.76259870683094,156.85638933027843,87.89344024658203,149.72554779052734,117.91429,124.7892,105.74085601576701,136.9626351951705,91.83052062988281,150.8729705810547,82.43550109863281,148.72723388671875,79.92845153808594,151.23428344726562
2,98.0,104.24616,133.87569,79.6895710623566,158.43227036830746,88.14486694335938,149.9769744873047,114.275734,122.48884,99.73273282881465,137.03183931474004,88.8610610961914,147.90351104736328,81.64196014404297,151.92127990722656,79.1349105834961,154.42832946777344
3,69.0,45.63598,61.79207,32.24600970555536,75.18203747462042,22.797969818115234,84.63007736206055,42.997063,59.55535,13.677186300397665,88.87522764003202,21.754981994628906,80.79743194580078,36.62118148803711,88.05619812011719,34.114131927490234,90.56324768066406
4,82.0,70.22746,92.09465,52.10421082871302,110.21790220839635,50.24500274658203,112.07711029052734,59.75081,109.68529,-28.668502901223732,198.10459909263,55.19682312011719,114.23927307128906,56.760868072509766,120.02046203613281,54.25381851196289,122.52751159667969
5,91.0,100.27932,131.04419,74.78177257873728,156.5417290081768,84.74569702148438,146.5778045654297,105.66754,118.062836,83.71910554095885,140.01127165630677,82.34396362304688,141.38641357421875,73.21483612060547,141.57803344726562,70.7077865600586,144.0850830078125
6,93.0,105.90852,137.59859,79.64418665356217,163.86292394214095,90.8375015258789,152.66960906982422,115.99013,123.04811,103.49250466750885,135.54573385788177,89.99789428710938,149.04034423828125,80.95594787597656,151.41494750976562,78.44889831542969,153.9219970703125
7,91.0,82.81833,109.33713,60.8398605253307,131.31559601763806,65.16167449951172,126.99378204345703,94.12574,106.05239,73.00714920575949,127.17098189775614,70.56784057617188,129.61029052734375,76.56280517578125,144.67135620117188,74.05575561523438,147.17840576171875
8,95.0,88.35257,116.40604,65.10219336705757,139.65641258997368,71.46324920654297,133.29535675048828,83.42727,112.843895,31.339042635824143,164.93212130460554,68.6143569946289,127.65680694580078,67.9580307006836,133.9116973876953,65.45098114013672,136.4187469482422
9,111.0,106.1375,139.36472,78.59917743244793,166.90303509196613,91.83505249023438,153.6671600341797,119.797424,125.97574,108.85744087538377,136.9157219664131,93.3653564453125,152.40780639648438,82.75144958496094,153.7264404296875,80.24440002441406,156.23348999023438
10,96.0,89.82459,113.67324,70.05911304113275,133.43872021082038,70.8328628540039,132.66497039794922,88.438835,107.63279,54.45197978442253,141.61964497143686,68.51458740234375,127.55703735351562,70.02421569824219,136.62594604492188,67.51716613769531,139.13299560546875
11,97.0,89.64617,114.465034,69.07659728545954,135.03460876922796,71.1395492553711,132.9716567993164,74.4209,113.21272,5.73197108148409,181.90165013433622,64.29558563232422,123.3380355834961,63.37265396118164,125.21576690673828,60.865604400634766,127.72281646728516
12,124.0,77.424774,100.503876,58.297085569486164,119.63156433285758,58.04827117919922,119.88037872314453,86.36799,110.55802,43.53453784932804,153.3914722825079,68.94178009033203,127.9842300415039,76.47190856933594,145.1282958984375,73.96485900878906,147.63534545898438
13,95.0,71.022606,95.12592,51.04606679783876,115.10246225489561,52.15821075439453,113.99031829833984,73.81452,98.59794,29.930366823170438,142.482093503978,56.68500518798828,115.72745513916016,59.39265060424805,124.04884338378906,56.88560104370117,126.55589294433594
14,107.0,96.09216,123.835846,73.09853550217773,146.8294735310254,79.0479507446289,140.88005828857422,108.65459,116.6573,94.48411891331824,130.82777073511926,83.13471984863281,142.1771697998047,74.31837463378906,140.96961975097656,71.81132507324219,143.47666931152344
15,83.0,94.44593,121.07609,72.37517817008901,143.14684026252817,76.84495544433594,138.67706298828125,101.76532,121.15082,67.43928619812819,155.47685149718433,81.93684387207031,140.9792938232422,68.00243377685547,132.12249755859375,65.4953842163086,134.62954711914062
16,84.0,69.57051,94.257324,49.110380397223544,114.71745468578428,50.99786376953125,112.82997131347656,80.47389,95.288025,54.24241289680986,121.51950421744795,58.35973358154297,117.40218353271484,53.93207550048828,113.28811645507812,51.425025939941406,115.795166015625
17,50.0,36.727802,55.91908,20.82230159145105,71.82457951206457,15.407386779785156,77.23949432373047,44.070393,54.601833,25.422304146617027,73.24992180553141,19.81488800048828,78.85733795166016,30.363916397094727,77.00231170654297,27.85686683654785,79.50936126708984
18,28.0,26.322462,42.28969,13.089017579091724,55.52313452051765,3.3900222778320312,65.22212982177734,30.499119,37.125225,18.766224855496898,48.85811901657341,4.290946960449219,63.333396911621094,20.991172790527344,61.839576721191406,18.48412322998047,64.34662628173828
19,87.0,82.929245,109.69322,60.747589195369976,131.87487784564564,65.39517974853516,127.22728729248047,75.418915,111.06366,12.302538418156828,174.1800360447338,63.720062255859375,122.76251220703125,77.720458984375,146.0187530517578,75.21340942382812,148.5258026123047
20,16.0,15.601015,26.844538,6.282520478633941,36.16303234729379,-9.693277359008789,52.13883018493652,14.851765,22.642418,1.056802071568331,36.437380515101594,-10.774133682250977,48.2683162689209,9.28261661529541,35.34097671508789,6.775567054748535,37.848026275634766
21,57.0,55.497036,75.97369,38.52623663134902,92.94448175244004,34.819305419921875,96.65141296386719,59.756725,74.03844,34.467995705369866,99.32717031025513,37.37635803222656,96.41880798339844,45.57327651977539,103.62710571289062,43.066226959228516,106.1341552734375
22,111.0,105.915924,141.76978,76.20068890110178,171.48501056178884,92.92679595947266,154.75890350341797,116.77413,126.935585,98.78117939634151,144.9285374005335,92.33363342285156,151.37608337402344,83.77536010742188,154.2318878173828,81.268310546875,156.7389373779297
23,113.0,105.133644,131.30334,83.4445122695115,152.99248419044943,87.30244445800781,149.13455200195312,117.20665,124.009415,105.16093225771655,136.05513219540845,91.08680725097656,150.12925720214844,82.75874328613281,148.66482543945312,80.25169372558594,151.171875
24,20.0,16.246277,28.049553,6.463865931916436,37.83196384103278,-8.768138885498047,53.063968658447266,18.794239,27.638096,3.1343638585759734,43.29797104132637,-6.305057525634766,52.73739242553711,11.652290344238281,37.81610870361328,9.145240783691406,40.323158264160156
25,125.0,92.92187,120.52793,70.04229058236679,143.4075080016176,75.80884552001953,137.64095306396484,100.29114,119.41792,66.423203600512,153.2858570684333,80.33330535888672,139.3757553100586,70.36172485351562,134.19850158691406,67.85467529296875,136.70555114746094
26,119.0,96.64956,124.173836,73.83777359857424,146.98562117681638,79.49564361572266,141.32775115966797,101.49223,124.21301,61.26038008161574,164.44486589006394,83.3313980102539,142.37384796142578,81.5602035522461,150.38839721679688,79.05315399169922,152.89544677734375
27,66.0,90.33292,115.13867,69.77420205504876,135.69738607971686,71.81974029541016,133.65184783935547,79.65239,116.43976,14.51275183781324,181.57939598933518,68.52484893798828,127.56729888916016,50.82235336303711,108.86074829101562,48.315303802490234,111.3677978515625
28,97.0,97.39247,124.30618,75.08671022474721,146.61194395005748,79.93327331542969,141.765380859375,103.967224,118.841095,77.6299583297372,145.17836076205967,81.8829345703125,140.92538452148438,78.84864044189453,148.599853515625,76.34159088134766,151.10690307617188
29,90.0,91.64796,121.13308,67.21104245098815,145.56999392596498,75.4744644165039,137.30657196044922,98.08539,112.02406,73.4040807718405,136.7053705221048,75.53350067138672,134.5759506225586,69.56564331054688,136.35903930664062,67.05859375,138.8660888671875
30,115.0,93.58643,123.54748,68.75508649262257,148.37882464018992,77.6509017944336,139.4830093383789,101.4831,120.46926,67.86419089575894,154.08817116478792,81.4549560546875,140.49740600585938,69.84326934814453,137.01309204101562,67.33621978759766,139.5201416015625
31,8.0,8.669931,21.954224,-2.3399302664586727,32.96408531101434,-15.603976249694824,46.22813129425049,10.03666,16.529934,-1.461021570330093,28.02761474049611,-16.23792839050293,42.804521560668945,5.957511901855469,25.378734588623047,3.4504623413085938,27.885784149169922
32,48.0,42.712265,62.86084,26.01336672905403,79.55973812934441,21.870498657226562,83.70260620117188,48.035557,61.769756,23.71630970205029,86.08900340830127,25.381431579589844,84.42388153076172,33.03361129760742,81.87743377685547,30.526561737060547,84.38448333740234
33,106.0,103.28949,133.21912,78.48418115423686,158.02442480279439,87.33824920654297,149.17035675048828,112.390526,122.86004,93.8520801170736,141.39848445812171,88.10405731201172,147.1465072631836,80.18516540527344,151.07940673828125,77.67811584472656,153.58645629882812
34,7.0,6.951532,16.769644,-1.1856012606412438,24.90677740810218,-19.055465698242188,42.776641845703125,6.743878,12.534416,-3.5094666896457305,22.78776029926487,-19.882078170776367,39.16037178039551,3.532219648361206,21.887907028198242,1.025170087814331,24.394956588745117
35,11.0,7.733595,20.570093,-2.9051387862315003,31.208826835547907,-16.764209747314453,45.06789779663086,7.2211065,14.556216,-5.7672229213710935,27.544545690536133,-18.632563591003418,40.40988636016846,5.314684867858887,24.27341079711914,2.8076353073120117,26.780460357666016
36,19.0,15.599354,29.888279,3.7568640322575533,41.73076871920729,-8.172237396240234,53.65987014770508,21.138725,25.294262,13.780490125206098,32.652497087928666,-6.304731369018555,52.73771858215332,9.885699272155762,37.60999298095703,7.378649711608887,40.117042541503906
37,21.0,23.63361,38.857952,11.015861870863834,51.47570001878461,0.3297271728515625,62.161834716796875,26.722836,34.25511,13.385384806553638,47.592562428553784,0.9677486419677734,60.01019859313965,17.83607292175293,56.6357536315918,15.329023361206055,59.14280319213867
38,50.0,48.617065,67.88005,32.65213660045785,83.84497948840934,27.332504272460938,89.16461181640625,48.62989,62.986366,23.20879016120375,88.40746655266344,26.286903381347656,85.32935333251953,37.17848587036133,89.89926147460938,34.67143630981445,92.40631103515625
39,125.0,102.185196,134.8216,75.1365470226134,161.8702431385194,87.58734130859375,149.41944885253906,114.103165,122.14552,99.8625216350755,136.38616610906513,88.60311889648438,147.64556884765625,80.28596496582031,145.97628784179688,77.77891540527344,148.48333740234375
